,Name,No. Params
0,Token embedding,64328960
1,Position embedding,1310720
2,Block 0,19677440
3,Block 1,19677440
4,Block 2,19677440
5,Block 3,19677440
6,Block 4,19677440
7,Block 5,19677440
8,Block 6,19677440
9,Block 7,19677440
10,Block 8,19677440
11,Block 9,19677440
12,Block 10,19677440
13,Block 11,19677440
14,Block 12,19677440
15,Block 13,19677440
16,Block 14,19677440
17,Block 15,19677440
18,Block 16,19677440
19,Block 17,19677440
20,Block 18,19677440
21,Block 19,19677440
22,Block 20,19677440
23,Block 21,19677440
24,Block 22,19677440
25,Block 23,19677440
26,Block 24,19677440
27,Block 25,19677440
28,Block 26,19677440
29,Block 27,19677440
30,Block 28,19677440
31,Block 29,19677440
32,Block 30,19677440
33,Block 31,19677440
34,Block 32,19677440
35,Block 33,19677440
36,Block 34,19677440
37,Block 35,19677440
38,LayerNorm final,2560
39,LM head,64328960
